# Relative luminous intensity of the DeepSea Power & Light LED SeaLite,
# digitised from the vector art of Appendix D (Beam Patterns), p.13 of the
# Operator's Manual rev. 08/27/18. Folded about the axis and normalised so
# that peak = 1.0. Multiply by the peak intensity to get candela:
# flood I0 = 5680 cd, spot I0 = 14400 cd
# (the manual quotes these as peak lux at 1 m, which is the same number).
# angle_deg,flood_rel,spot_rel
0.0,0.94249,1.00000
0.5,0.95190,0.99307
1.0,0.94916,0.98769
1.5,0.94758,0.97100
2.0,0.94543,0.97306
2.5,0.95011,0.95701
3.0,0.95276,0.94665
3.5,0.95508,0.92569
4.0,0.95108,0.90766
4.5,0.95721,0.89483
5.0,0.95723,0.87631
5.5,0.96371,0.84526
6.0,0.96376,0.85171
6.5,0.96131,0.81935
7.0,0.96506,0.79600
7.5,0.96906,0.77190
8.0,0.97086,0.74967
8.5,0.97852,0.71578
9.0,0.97543,0.71187
9.5,0.97501,0.68804
10.0,0.98071,0.67477
10.5,0.98560,0.65902
11.0,0.98843,0.64072
11.5,0.98657,0.64255
12.0,0.98583,0.62826
12.5,0.99077,0.61616
13.0,0.99754,0.60540
13.5,0.99617,0.59205
14.0,0.99292,0.59319
14.5,0.99644,0.56192
15.0,1.00000,0.56723
15.5,0.99220,0.55401
16.0,0.99204,0.52470
16.5,0.99506,0.48920
17.0,0.99665,0.47653
17.5,0.99356,0.46606
18.0,0.98555,0.43728
18.5,0.98469,0.42476
19.0,0.98074,0.38922
19.5,0.98089,0.37874
20.0,0.97461,0.35756
20.5,0.96989,0.32979
21.0,0.95713,0.31949
21.5,0.96060,0.28286
22.0,0.95359,0.26240
22.5,0.94204,0.23726
23.0,0.93019,0.21261
23.5,0.91720,0.20981
24.0,0.92031,0.16537
24.5,0.90908,0.15686
25.0,0.89004,0.13250
25.5,0.87334,0.13238
26.0,0.87411,0.11889
26.5,0.86502,0.10794
27.0,0.84419,0.08679
27.5,0.83336,0.07531
28.0,0.81955,0.07658
28.5,0.80686,0.05838
29.0,0.79134,0.06072
29.5,0.78288,0.05576
30.0,0.75398,0.03687
30.5,0.75713,0.04180
31.0,0.74709,0.03398
31.5,0.73394,0.02872
32.0,0.70505,0.03072
32.5,0.69875,0.02614
33.0,0.68201,0.01778
33.5,0.67051,0.01872
34.0,0.63849,0.01990
34.5,0.63014,0.02113
35.0,0.62224,0.01865
35.5,0.59208,0.00965
36.0,0.57150,0.01082
36.5,0.52842,0.01331
37.0,0.50434,0.01179
37.5,0.49352,0.01246
38.0,0.44323,0.01218
38.5,0.42771,0.00938
39.0,0.39502,0.00822
39.5,0.35365,0.00763
40.0,0.32587,0.00648
40.5,0.28504,0.00240
41.0,0.28289,0.00301
41.5,0.22326,0.00568
42.0,0.20700,0.00536
42.5,0.19356,0.00966
43.0,0.14414,0.00668
43.5,0.10621,0.00370
44.0,0.09409,0.00662
44.5,0.08458,0.00556
45.0,0.06563,0.00937
45.5,0.04801,0.00829
46.0,0.03998,0.00720
46.5,0.02560,0.00612
47.0,0.02325,0.00503
47.5,0.02260,0.00395
48.0,0.01891,0.00286
48.5,0.01451,0.00178
49.0,0.01479,0.00069
49.5,0.01427,0.00000
50.0,0.01328,0.00348
50.5,0.00390,0.00348
51.0,0.00808,0.00348
51.5,0.00737,0.00348
52.0,0.00483,0.00348
52.5,0.00540,0.00348
53.0,0.00823,0.00348
53.5,0.00569,0.00348
54.0,0.00904,0.00348
54.5,0.00461,0.00348
55.0,0.01125,0.00357
55.5,0.00914,0.00405
56.0,0.00703,0.00453
56.5,0.00492,0.00501
57.0,0.00281,0.00549
57.5,0.00600,0.00597
58.0,0.00581,0.00645
58.5,0.00563,0.00693
59.0,0.00544,0.00741
59.5,0.00526,0.00789
60.0,0.00985,0.00348
60.5,0.00929,0.00347
61.0,0.00872,0.00346
61.5,0.00816,0.00346
62.0,0.00760,0.00345
62.5,0.00704,0.00345
63.0,0.00648,0.00344
63.5,0.00592,0.00344
64.0,0.00535,0.00343
64.5,0.00479,0.00343
65.0,0.00435,0.00346
65.5,0.00434,0.00338
66.0,0.00434,0.00330
66.5,0.00433,0.00322
67.0,0.00433,0.00314
67.5,0.00432,0.00306
68.0,0.00432,0.00298
68.5,0.00431,0.00290
69.0,0.00431,0.00282
69.5,0.00430,0.00274
70.0,0.00420,0.00268
70.5,0.00363,0.00268
71.0,0.00307,0.00269
71.5,0.00251,0.00269
72.0,0.00195,0.00270
72.5,0.00139,0.00270
73.0,0.00083,0.00271
73.5,0.00026,0.00272
74.0,0.00000,0.00272
74.5,0.00000,0.00273
75.0,0.00832,0.00737
75.5,0.00832,0.00689
76.0,0.00832,0.00641
76.5,0.00832,0.00593
77.0,0.00832,0.00545
77.5,0.00832,0.00497
78.0,0.00832,0.00449
78.5,0.00832,0.00402
79.0,0.00832,0.00354
79.5,0.00832,0.00306
80.0,0.00000,0.00267
80.5,0.00000,0.00267
81.0,0.00070,0.00266
81.5,0.00163,0.00266
82.0,0.00256,0.00265
82.5,0.00348,0.00264
83.0,0.00441,0.00264
83.5,0.00534,0.00263
84.0,0.00627,0.00263
84.5,0.00719,0.00262
85.0,0.00000,0.00267
85.5,0.00000,0.00267
86.0,0.00000,0.00267
86.5,0.00000,0.00267
87.0,0.00000,0.00267
87.5,0.00000,0.00267
88.0,0.00000,0.00267
88.5,0.00000,0.00267
89.0,0.00000,0.00267
89.5,0.00000,0.00267
90.0,0.00000,0.00348
