# SeaSense serial dimming curve, digitised from Appendix C, p.10 of the
# LED SeaLite Operator's Manual rev. 08/27/18. Maps the LOUT command
# value sent by Sealite.set_level() onto per-cent of full light output.
# lout,output_pct
0,0.000
1,0.863
2,1.092
3,1.350
4,1.575
5,1.833
6,2.059
7,2.317
8,2.543
9,2.768
10,3.026
11,3.252
12,3.509
13,3.735
14,3.993
15,4.219
16,4.477
17,4.703
18,4.928
19,5.186
20,5.411
21,5.669
22,5.895
23,6.153
24,6.379
25,6.636
26,6.862
27,7.088
28,7.346
29,7.571
30,7.829
31,8.055
32,8.313
33,8.538
34,8.796
35,9.022
36,9.248
37,9.506
38,9.731
39,9.989
40,10.214
41,10.472
42,10.698
43,10.956
44,11.182
45,11.408
46,11.665
47,11.891
48,12.149
49,12.374
50,12.632
51,12.858
52,13.116
53,13.342
54,13.567
55,13.825
56,14.051
57,14.309
58,14.534
59,14.792
60,15.018
61,15.244
62,15.500
63,16.143
64,17.141
65,18.141
66,19.268
67,20.429
68,21.589
69,22.846
70,24.167
71,25.457
72,26.939
73,28.454
74,29.937
75,31.612
76,33.289
77,34.965
78,36.866
79,38.768
80,40.734
81,42.829
82,44.924
83,47.116
84,49.501
85,51.854
86,54.336
87,56.978
88,59.590
89,62.362
90,65.295
91,68.196
92,71.322
93,74.513
94,77.737
95,81.218
96,84.763
97,88.342
98,92.177
99,96.077
100,100.000
